iter	RMSE
798	0.7137444714
799	0.713738887
800	0.7137306876
801	0.7137248564
802	0.7137179396
803	0.7137110568
804	0.7137062486
805	0.7136989373
806	0.7136925247
807	0.7136885235
808	0.7136816273
809	0.7136755615
810	0.7136714838
811	0.7136618515
812	0.7136531392
813	0.713646516
814	0.7136382224
815	0.7136316658
816	0.713626572
817	0.7136191309
818	0.7136104138
819	0.7136068697
820	0.7135987095
821	0.7135943123
822	0.7135900927
823	0.7135811209
824	0.7135726156
825	0.7135655943
826	0.7135592507
827	0.7135553995
828	0.7135502995
829	0.7135430834
830	0.7135347143
831	0.713528358
832	0.7135187896
833	0.7135165008
834	0.7135087476
835	0.7135052448
836	0.7134980997
837	0.7134922366
838	0.7134878803
839	0.7134804973
840	0.7134740822
841	0.7134648636
842	0.7134570326
843	0.7134501682
844	0.7134421238
845	0.7134361876
846	0.7134308347
847	0.7134237168
848	0.7134194161
849	0.7134119676
850	0.7134080667
851	0.7134011606
852	0.7133923558
853	0.7133872783
854	0.7133797794
855	0.7133714633
856	0.7133669461
857	0.7133626787
858	0.7133570743
859	0.7133522849
860	0.7133459168
861	0.7133401483
862	0.7133329341
863	0.7133290779
864	0.7133200258
865	0.7133153208
866	0.713311534
867	0.7133019491
868	0.7132964587
869	0.7132872814
870	0.7132811446
871	0.7132714588
872	0.7132630814
873	0.7132593882
874	0.7132527758
875	0.7132483782
876	0.7132367871
877	0.7132321486
878	0.7132274994
879	0.7132200338
880	0.7132152302
881	0.7132109798
882	0.7132030036
883	0.7131908566
884	0.7131841451
885	0.713177533
886	0.7131728022
887	0.7131650708
888	0.7131576452
889	0.7131531697
890	0.7131446868
891	0.713141244
892	0.7131362899
893	0.7131307688
894	0.7131228692
895	0.7131175681
896	0.713112127
897	0.7131072162
898	0.7131027061
899	0.7130969601
900	0.7130907468
901	0.7130839926
902	0.7130784391
903	0.7130735045
904	0.7130662306
905	0.7130585375
906	0.713050743
907	0.7130443841
908	0.7130350265
909	0.7130245705
910	0.7130210359
911	0.7130152316
912	0.7130055701
913	0.7129972053
914	0.7129929191
915	0.7129882257
916	0.7129833998
917	0.7129753296
918	0.7129723505
919	0.712964659
920	0.712957942
921	0.7129517928
922	0.7129452864
923	0.7129354192
924	0.7129278423
925	0.7129233301
926	0.7129172445
927	0.712908944
928	0.7129006128
929	0.712894013
930	0.7128881134
931	0.7128823959
932	0.7128786419
933	0.7128719912
934	0.7128668236
935	0.7128609827
936	0.7128548694
937	0.712851645
938	0.7128441048
939	0.7128404643
940	0.7128362565
941	0.712827101
942	0.7128186443
943	0.7128127996
944	0.7128026629
945	0.7127961438
946	0.7127867506
947	0.7127783473
948	0.7127722048
949	0.7127647067
950	0.7127597865
951	0.712752266
952	0.712748361
953	0.7127421208
954	0.7127374978
955	0.7127322905
956	0.7127285829
957	0.7127216388
958	0.7127154371
959	0.7127089257
960	0.7127030379
961	0.7126948891
962	0.7126900359
963	0.7126858359
964	0.7126809048
