iter	Passed	Remaining
746	19786	22593
747	19811	22566
748	19836	22538
749	19862	22511
750	19887	22483
751	19915	22458
752	19945	22435
753	19972	22408
754	19999	22383
755	20026	22357
756	20052	22330
757	20079	22304
758	20105	22277
759	20132	22251
760	20158	22224
761	20184	22197
762	20210	22171
763	20235	22143
764	20260	22114
765	20287	22088
766	20314	22062
767	20341	22036
768	20367	22009
769	20395	21984
770	20420	21956
771	20445	21928
772	20470	21900
773	20497	21874
774	20523	21847
775	20549	21820
776	20574	21792
777	20600	21765
778	20628	21740
779	20654	21713
780	20679	21686
781	20704	21657
782	20730	21630
783	20755	21603
784	20781	21576
785	20808	21549
786	20834	21522
787	20858	21493
788	20884	21466
789	20911	21440
790	20937	21414
791	20963	21386
792	20990	21361
793	21017	21334
794	21041	21306
795	21066	21278
796	21091	21249
797	21117	21223
798	21143	21196
799	21170	21170
800	21196	21143
801	21221	21115
802	21248	21089
803	21272	21061
804	21298	21033
805	21325	21008
806	21350	20980
807	21375	20952
808	21401	20925
809	21426	20897
810	21451	20869
811	21477	20842
812	21503	20816
813	21530	20790
814	21556	20763
815	21582	20735
816	21606	20707
817	21632	20680
818	21658	20653
819	21685	20627
820	21711	20600
821	21737	20573
822	21762	20546
823	21788	20518
824	21813	20491
825	21839	20464
826	21865	20438
827	21890	20410
828	21914	20381
829	21940	20354
830	21964	20326
831	21991	20299
832	22017	20272
833	22040	20243
834	22066	20216
835	22093	20190
836	22120	20165
837	22145	20136
838	22169	20108
839	22195	20081
840	22222	20055
841	22246	20026
842	22273	20001
843	22299	19974
844	22324	19946
845	22349	19919
846	22376	19893
847	22400	19864
848	22424	19835
849	22450	19809
850	22475	19781
851	22500	19754
852	22526	19727
853	22553	19701
854	22578	19674
855	22604	19646
856	22629	19619
857	22655	19592
858	22680	19564
859	22706	19537
860	22730	19509
861	22775	19499
862	22802	19472
863	22829	19447
864	22857	19421
865	22884	19396
866	22911	19370
867	22937	19343
868	22968	19320
869	22991	19292
870	23018	19265
871	23044	19239
872	23073	19214
873	23104	19191
874	23132	19166
