iter	RMSE
675	0.7191929912
676	0.7191679549
677	0.7191458597
678	0.7191076355
679	0.719076989
680	0.7190258917
681	0.7189928721
682	0.7189541701
683	0.7189309508
684	0.718907356
685	0.7188832277
686	0.7188385846
687	0.7187970605
688	0.7187731839
689	0.7187410912
690	0.7187069678
691	0.7186876855
692	0.7186586643
693	0.7186218534
694	0.7185994641
695	0.7185709855
696	0.7185377916
697	0.718513592
698	0.7184794669
699	0.7184477867
700	0.7184205526
701	0.7183914088
702	0.7183640253
703	0.7183089618
704	0.7182908616
705	0.7182494288
706	0.7182227294
707	0.7181910013
708	0.7181683403
709	0.7181417321
710	0.7181087392
711	0.7180827114
712	0.7180667701
713	0.7180458553
714	0.7180149489
715	0.7179828093
716	0.7179578278
717	0.7179323752
718	0.7179105445
719	0.7179010039
720	0.7178845246
721	0.7178632251
722	0.7178325675
723	0.7178034452
724	0.7177850625
725	0.7177582215
726	0.7177246888
727	0.7177073689
728	0.7176844001
729	0.7176626133
730	0.7176356943
731	0.7176107939
732	0.7175849005
733	0.7175416593
734	0.7175103327
735	0.7174863218
736	0.7174607427
737	0.7174364679
738	0.717409599
739	0.7173876296
740	0.7173559887
741	0.7173179307
742	0.717276955
743	0.7172573362
744	0.7172074002
745	0.7171776563
746	0.7171534782
747	0.7171179105
748	0.7170991027
749	0.7170730846
750	0.7170452046
751	0.7170050487
752	0.7169778397
753	0.7169566909
754	0.716909964
755	0.7168692547
756	0.7168554153
757	0.7168376893
758	0.7168027958
759	0.7167575001
760	0.7167242073
761	0.7167012817
762	0.7166694753
763	0.7166446336
764	0.7166079203
765	0.7165805774
766	0.7165561153
767	0.7165069897
768	0.7164907709
769	0.7164641777
770	0.7164345378
771	0.7164106572
772	0.7163876821
773	0.7163650496
774	0.7163407639
775	0.7163118522
776	0.7162846203
777	0.7162565125
778	0.7162338362
779	0.7162038532
780	0.7161704477
781	0.7161396414
782	0.7160954604
783	0.7160776265
784	0.7160501326
785	0.7160287991
786	0.7159970475
787	0.7159744291
788	0.7159595113
789	0.7159375435
790	0.7159108231
791	0.7158806123
792	0.7158571508
793	0.7158353811
794	0.715808332
795	0.7157845026
796	0.7157579542
797	0.7157338462
798	0.7157089332
799	0.7156815789
800	0.7156556228
801	0.715630095
802	0.7156052229
803	0.7155802939
804	0.7155551422
805	0.7155101944
806	0.7154856708
807	0.7154624684
808	0.7154484404
809	0.7154263439
810	0.7154015656
811	0.7153678664
812	0.7153372824
813	0.7153046101
814	0.7152908958
815	0.715269469
816	0.7152437399
817	0.7152069488
818	0.7151854661
819	0.7151535693
820	0.7151198331
821	0.7150928402
822	0.7150666141
823	0.715036574
824	0.7150051722
825	0.7149659473
826	0.7149412618
827	0.7149180734
828	0.7148948255
829	0.7148679797
830	0.7148359285
831	0.7148073623
832	0.7147908278
833	0.7147652831
834	0.714742315
835	0.7147165245
836	0.7146962627
837	0.7146769132
838	0.7146534736
839	0.7146203935
840	0.71458957
841	0.7145657423
842	0.7145395473
843	0.714517595
844	0.714490674
845	0.7144696344
846	0.7144558386
847	0.7144234146
848	0.7144006568
849	0.7143714651
850	0.7143546852
851	0.7143357242
852	0.7143121948
853	0.7142873589
854	0.7142705166
855	0.714255311
856	0.7142310932
857	0.7142023315
858	0.7141765202
859	0.7141490026
860	0.7141150146
861	0.7140949441
862	0.7140564735
863	0.7140178195
864	0.7140046648
865	0.7139767401
866	0.7139573112
867	0.7139271896
868	0.71389964
869	0.7138807721
870	0.7138419756
871	0.713813576
872	0.7137858689
873	0.7137568699
874	0.7137328911
875	0.7137084787
876	0.7136759106
877	0.7136514029
878	0.7136351116
879	0.7136184078
880	0.713596604
881	0.7135671147
882	0.7135466645
883	0.7135190024
884	0.7135011528
885	0.7134722751
886	0.7134506036
887	0.7134226211
888	0.7133983627
889	0.7133848074
890	0.7133677477
891	0.7133396641
892	0.7133137573
893	0.713293234
894	0.7132667391
895	0.7132389086
896	0.713206587
897	0.7131739205
898	0.7131526091
899	0.7131261512
900	0.7130997793
901	0.7130825917
902	0.7130631636
903	0.7130389528
904	0.7130163575
905	0.7129900008
906	0.7129623808
907	0.7129351248
908	0.7129118141
909	0.7128869498
910	0.7128582016
911	0.7128441922
912	0.7128220433
913	0.7128023491
914	0.7127801761
915	0.7127557809
916	0.7127298712
917	0.7127044948
918	0.7126935386
919	0.7126758543
920	0.7126489358
921	0.7126281613
922	0.7126082577
923	0.7125866807
924	0.7125677402
925	0.7125436669
926	0.7125262936
927	0.7124954309
928	0.7124695311
929	0.7124414794
930	0.7124204337
931	0.7124005506
932	0.7123811432
933	0.7123546241
934	0.7123419006
935	0.7123113808
936	0.7122841998
937	0.7122565202
938	0.7122352351
939	0.7122111328
940	0.7121879626
941	0.7121642151
942	0.7121343269
943	0.7121167401
944	0.7120949128
945	0.7120775068
946	0.7120540982
947	0.7120329724
948	0.7120160905
949	0.7119942492
950	0.7119658368
951	0.7119521188
952	0.7119298198
953	0.7119027612
954	0.7118820135
955	0.7118589089
956	0.7118338533
957	0.7118243983
958	0.7118042235
959	0.7117785657
960	0.7117465428
961	0.7117223249
962	0.7117077185
963	0.7116894584
964	0.7116662059
965	0.7116493855
966	0.7116221393
967	0.711598229
968	0.7115828283
969	0.7115532035
970	0.7115289108
971	0.7115100898
972	0.7114962106
973	0.7114756833
974	0.711446921
975	0.7114253664
976	0.7114042163
977	0.7113800393
978	0.7113612292
979	0.7113349593
980	0.7113109815
981	0.7112984101
982	0.7112715383
983	0.7112609083
984	0.7112404965
985	0.7112158064
986	0.711192921
987	0.7111659573
988	0.7111458227
989	0.7111241036
990	0.711105767
991	0.7110817816
992	0.7110641287
993	0.7110342588
994	0.7110139049
995	0.7109945384
996	0.7109729742
997	0.7109529617
998	0.7109295574
999	0.7109086041
1000	0.7108888413
1001	0.710864648
1002	0.7108472567
1003	0.710825974
1004	0.7108089323
1005	0.71078957
1006	0.7107690108
1007	0.7107461263
1008	0.7107234582
1009	0.7107040434
1010	0.710682735
1011	0.7106593857
1012	0.7106403319
1013	0.7106189008
1014	0.7105890216
1015	0.7105777319
1016	0.7105474336
1017	0.7105355002
1018	0.7105219373
1019	0.7105041864
1020	0.7104812894
1021	0.7104585528
1022	0.7104306416
1023	0.7104117491
1024	0.7103934547
1025	0.7103768469
1026	0.7103503083
1027	0.7103262692
1028	0.7103042901
1029	0.7102858565
1030	0.7102661098
1031	0.710247412
1032	0.7102200583
1033	0.7102017746
1034	0.7101779144
1035	0.7101518913
1036	0.7101277263
1037	0.7101016573
1038	0.7100813354
1039	0.7100562743
1040	0.7100299704
1041	0.7099998811
1042	0.709974733
1043	0.7099558276
1044	0.7099239187
1045	0.7099059846
1046	0.7098858116
1047	0.7098562652
1048	0.7098426003
1049	0.7098264801
1050	0.7098014653
1051	0.709783001
1052	0.7097583945
1053	0.7097325592
1054	0.7097061617
1055	0.7096767578
1056	0.7096566652
1057	0.7096393838
1058	0.7096257845
1059	0.7095937724
1060	0.7095749225
1061	0.7095566126
1062	0.7095260931
1063	0.7094960101
1064	0.7094741853
1065	0.709452375
1066	0.7094365546
1067	0.7094183538
1068	0.7094009025
